"Normalized Switching Current","On-chip Detection Efficiency"
0.502685594,0.12070567
0.515330084,0.140335587
0.526268598,0.165411288
0.536172533,0.192294889
0.546835159,0.223443768
0.559505515,0.257668385
0.570453727,0.292795446
0.582192962,0.329851871
0.592521505,0.3687172
0.602529976,0.408373547
0.613580569,0.447720715
0.624373595,0.489241177
0.635350905,0.527851532
0.646145009,0.568793787
0.65937145,0.605759867
0.668782883,0.640607864
0.679233205,0.674388788
0.691497272,0.706103828
0.702464884,0.736224783
0.713652343,0.76254925
0.723568132,0.787015625
0.736316081,0.808397228
0.745951672,0.831717228
0.758342907,0.849443881
0.767585143,0.862224659
0.778707941,0.876632647
0.790915969,0.888724796
0.800787573,0.897308556
0.812075257,0.90616335
0.823271338,0.912572811
0.833481336,0.917407262
0.846521337,0.923550708
0.855680591,0.927847105
0.866606173,0.928164316
0.878144957,0.934573777
0.88912119,0.934503509
0.901942421,0.935502321
