"Pulse Delay (ps)","Normalized Counts"
-360.00000000000006,1.
-351.00000000000006,0.9997800000000001
-342.00000000000006,0.9995100000000001
-333.00000000000006,0.9991800000000001
-324.00000000000006,0.9988000000000001
-315.00000000000006,0.9983400000000001
-306.,0.9977900000000001
-297.,0.99714
-288.,0.9963600000000001
-279.,0.9954400000000001
-270.,0.9943400000000001
-261.,0.9930300000000001
-252.,0.9914700000000001
-243.,0.98962
-234.,0.9874100000000001
-225.00000000000003,0.98479
-216.00000000000003,0.98167
-207.00000000000003,0.97796
-198.00000000000003,0.9735400000000001
-189.00000000000003,0.9682900000000001
-180.00000000000003,0.9620400000000001
-171.00000000000003,0.9546000000000001
-162.00000000000003,0.94576
-153.,0.9352400000000001
-144.,0.9227200000000001
-135.,0.9078400000000001
-126.,0.8901300000000001
-117.,0.86906
-108.00000000000001,0.8440000000000001
-99.00000000000001,0.8142
-90.00000000000001,0.77875
-81.00000000000001,0.7365900000000001
-72.,0.6865000000000001
-63.,0.62702
-54.00000000000001,0.5565800000000001
-45.00000000000001,0.47358000000000006
-40.50000000000001,0.42701000000000006
-36.,0.37699000000000005
-31.5,0.32369000000000003
-27.000000000000004,0.26758000000000004
-22.500000000000004,0.20963
-18.,0.15164000000000002
-13.500000000000002,0.09666000000000001
-9.,0.04947000000000001
-4.5,0.01668
0.,0.00481
4.5,0.01668
9.,0.04947000000000001
13.500000000000002,0.09666000000000001
18.,0.15164000000000002
22.500000000000004,0.20963
27.000000000000004,0.26758000000000004
31.5,0.32369000000000003
36.,0.37699000000000005
40.50000000000001,0.42701000000000006
45.00000000000001,0.47358000000000006
54.00000000000001,0.5565800000000001
63.,0.62702
72.,0.6865000000000001
81.00000000000001,0.7365900000000001
90.00000000000001,0.77875
99.00000000000001,0.8142
108.00000000000001,0.8440000000000001
117.,0.86906
126.,0.8901300000000001
135.,0.9078400000000001
144.,0.9227200000000001
153.,0.9352400000000001
162.00000000000003,0.94576
171.00000000000003,0.9546000000000001
180.00000000000003,0.9620400000000001
189.00000000000003,0.9682900000000001
198.00000000000003,0.9735400000000001
207.00000000000003,0.97796
216.00000000000003,0.98167
225.00000000000003,0.98479
234.,0.9874100000000001
243.,0.98962
252.,0.9914700000000001
261.,0.9930300000000001
270.,0.9943400000000001
279.,0.9954400000000001
288.,0.9963600000000001
297.,0.99714
306.,0.9977900000000001
315.00000000000006,0.9983400000000001
324.00000000000006,0.9988000000000001
333.00000000000006,0.9991800000000001
342.00000000000006,0.9995100000000001
351.00000000000006,0.9997800000000001
360.00000000000006,1.
