measurement number,bias,linear attenuation,stat,click 0,click 1,click 2,click 3,click 4,tau
0,0.77,48.0,mean,0.7117573333333332,0.2385813333333333,0.046327999999999994,0.0030040000000000006,0.0003293333333333334,0.03315621872402953
0,0.77,48.0,lower,0.6603333333333333,0.22466666666666665,0.045,0.003,0.0,0.03109469258232933
0,0.77,48.0,center,0.7116666666666667,0.23866666666666667,0.04633333333333333,0.003,0.0003333333333333333,0.03316931908161765
0,0.77,48.0,upper,0.7256666666666667,0.29,0.04633333333333333,0.0033333333333333335,0.0003333333333333333,0.04102857660147683
1,0.82,48.0,mean,0.5904693333333334,0.324977,0.07489099999999999,0.008995999999999999,0.0006666666666666666,0.0514941470721094
1,0.82,48.0,lower,0.561,0.2976666666666667,0.073,0.008333333333333333,0.0006666666666666666,0.046837169899701644
1,0.82,48.0,center,0.5903333333333334,0.325,0.075,0.009,0.0006666666666666666,0.05151546757275892
1,0.82,48.0,upper,0.618,0.35433333333333333,0.08,0.009666666666666667,0.0006666666666666666,0.05652212764589736
2,0.86,48.0,mean,0.5159096666666667,0.35602266666666665,0.10771866666666664,0.01901,0.001339,0.06411736524246682
2,0.86,48.0,lower,0.45166666666666666,0.3313333333333333,0.10266666666666667,0.017333333333333333,0.0006666666666666666,0.0595159377620615
2,0.86,48.0,center,0.516,0.35633333333333334,0.10766666666666666,0.019,0.0013333333333333333,0.0641041796405968
2,0.86,48.0,upper,0.541,0.4206666666666667,0.131,0.024666666666666667,0.003,0.07554991957425254
3,0.77,50.0,mean,0.822330333333333,0.16168033333333331,0.015655999999999996,0.0003333333333333333,0.0,0.019340905627250222
3,0.77,50.0,lower,0.8083333333333333,0.15266666666666667,0.015,0.0003333333333333333,0.0,0.018197601657706206
3,0.77,50.0,center,0.8223333333333334,0.16166666666666665,0.015666666666666666,0.0003333333333333333,0.0,0.01934000639821454
3,0.77,50.0,upper,0.8313333333333334,0.17566666666666667,0.015666666666666666,0.0003333333333333333,0.0,0.02114377035697448
4,0.82,50.0,mean,0.7349973333333333,0.22507333333333338,0.03826366666666667,0.0016656666666666669,0.0,0.030152984539991125
4,0.82,50.0,lower,0.724,0.21266666666666667,0.037,0.0013333333333333333,0.0,0.028381395516636335
4,0.82,50.0,center,0.735,0.225,0.03833333333333333,0.0016666666666666668,0.0,0.030149730049605354
4,0.82,50.0,upper,0.7473333333333333,0.236,0.03966666666666667,0.002,0.0,0.0317479392771499
5,0.86,50.0,mean,0.64698,0.2894183333333334,0.05626633333333334,0.006002000000000001,0.0013333333333333333,0.042647110752962854
5,0.86,50.0,lower,0.6076666666666667,0.28,0.055,0.006,0.0013333333333333333,0.04110611727407271
5,0.86,50.0,center,0.647,0.28933333333333333,0.05633333333333333,0.006,0.0013333333333333333,0.04264211260780029
5,0.86,50.0,upper,0.6566666666666666,0.32866666666666666,0.058333333333333334,0.006666666666666667,0.0013333333333333333,0.04902888298958686
6,0.77,53.0,mean,0.898332,0.096002,0.005666,0.0,0.0,0.010624337519112341
6,0.77,53.0,lower,0.897,0.095,0.005333333333333333,0.0,0.0,0.010509298918083554
6,0.77,53.0,center,0.8983333333333333,0.096,0.005666666666666667,0.0,0.0,0.010624151278383741
6,0.77,53.0,upper,0.8993333333333333,0.09733333333333333,0.005666666666666667,0.0,0.0,0.010777530686688045
7,0.82,53.0,mean,0.8553343333333334,0.1359990000000001,0.008333333333333331,0.0003333333333333333,0.0,0.015566938107612165
7,0.82,53.0,lower,0.853,0.13233333333333333,0.008333333333333333,0.0003333333333333333,0.0,0.015121305020053438
7,0.82,53.0,center,0.8553333333333333,0.136,0.008333333333333333,0.0003333333333333333,0.0,0.015567057844899618
7,0.82,53.0,upper,0.859,0.13833333333333334,0.008333333333333333,0.0003333333333333333,0.0,0.015851849967272697
8,0.86,53.0,mean,0.805947666666667,0.17638433333333342,0.017333333333333336,0.00033466666666666665,0.0,0.021379137783339025
8,0.86,53.0,lower,0.8033333333333333,0.17466666666666666,0.016666666666666666,0.0003333333333333333,0.0,0.021155099443410156
8,0.86,53.0,center,0.806,0.17633333333333334,0.017333333333333333,0.0003333333333333333,0.0,0.021372380973152805
8,0.86,53.0,upper,0.8076666666666666,0.179,0.018,0.001,0.0,0.021720981492464368
